ip,domain,spider_type
1.13.196.225,smtp5.sogou-inc.com,Sogou
4.1.112.78,bytedance-i.bar1.toronto1.level3.net,ByteDance
4.1.170.114,bytedance-i.bear2.nashville1.level3.net,ByteDance
4.2.14.58,bytedance-i.ear2.seattle1.level3.net,ByteDance
4.14.108.34,bytedance-i.bar1.sanfrancisco1.level3.net,ByteDance
4.53.182.194,bytedance-i.ear2.tustin1.level3.net,ByteDance
4.59.246.18,bytedance-i.bear1.baltimore1.level3.net,ByteDance
5.57.82.102,lonap-gw1.bytedance.net,ByteDance
5.61.58.233,crawl-5-61-58-233.googlebot.com,Google
5.61.59.35,crawl-66-249-66-1.googlebot.com,Google
5.135.188.100,notagooglebot.com,Google
5.223.76.108,crawl-66-249-66-1.googlebot.com,Google
13.66.139.0,msnbot-13-66-139-0.search.msn.com,Bing
13.66.139.1,msnbot-13-66-139-1.search.msn.com,Bing
13.66.139.2,msnbot-13-66-139-2.search.msn.com,Bing
13.66.139.3,msnbot-13-66-139-3.search.msn.com,Bing
13.66.139.4,msnbot-13-66-139-4.search.msn.com,Bing
13.66.139.5,msnbot-13-66-139-5.search.msn.com,Bing
13.66.139.6,msnbot-13-66-139-6.search.msn.com,Bing
13.66.139.7,msnbot-13-66-139-7.search.msn.com,Bing
13.66.139.8,msnbot-13-66-139-8.search.msn.com,Bing
13.66.139.9,msnbot-13-66-139-9.search.msn.com,Bing
13.66.139.10,msnbot-13-66-139-10.search.msn.com,Bing
13.66.139.11,msnbot-13-66-139-11.search.msn.com,Bing
13.66.139.12,msnbot-13-66-139-12.search.msn.com,Bing
13.66.139.13,msnbot-13-66-139-13.search.msn.com,Bing
13.66.139.14,msnbot-13-66-139-14.search.msn.com,Bing
13.66.139.15,msnbot-13-66-139-15.search.msn.com,Bing
13.66.139.16,msnbot-13-66-139-16.search.msn.com,Bing
13.66.139.17,msnbot-13-66-139-17.search.msn.com,Bing
13.66.139.18,msnbot-13-66-139-18.search.msn.com,Bing
13.66.139.19,msnbot-13-66-139-19.search.msn.com,Bing
13.66.139.20,msnbot-13-66-139-20.search.msn.com,Bing
13.66.139.21,msnbot-13-66-139-21.search.msn.com,Bing
13.66.139.22,msnbot-13-66-139-22.search.msn.com,Bing
13.66.139.23,msnbot-13-66-139-23.search.msn.com,Bing
13.66.139.24,msnbot-13-66-139-24.search.msn.com,Bing
13.66.139.25,msnbot-13-66-139-25.search.msn.com,Bing
13.66.139.26,msnbot-13-66-139-26.search.msn.com,Bing
13.66.139.27,msnbot-13-66-139-27.search.msn.com,Bing
13.66.139.28,msnbot-13-66-139-28.search.msn.com,Bing
13.66.139.29,msnbot-13-66-139-29.search.msn.com,Bing
